Year,Quarter,Type of application,Institution type group,Institution type,Applications
2010,2010 Q1,Visa,Higher Education institution,Russell Group Universities,364
2010,2010 Q1,Visa,Higher Education institution,Non Russell Group Universities,741
2010,2010 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges","2,645"
2010,2010 Q1,Visa,All other institutions,English language school,"2,632"
2010,2010 Q1,Visa,All other institutions,Independent school,325
2010,2010 Q1,Visa,All other institutions,Other,388
2010,2010 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,211
2010,2010 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,450
2010,2010 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",677
2010,2010 Q1,Extensions of stay,All other institutions,English language school,345
2010,2010 Q1,Extensions of stay,All other institutions,Independent school,55
2010,2010 Q1,Extensions of stay,All other institutions,Other,38
2010,2010 Q2,Visa,Higher Education institution,Russell Group Universities,"4,735"
2010,2010 Q2,Visa,Higher Education institution,Non Russell Group Universities,"8,751"
2010,2010 Q2,Visa,All other institutions,"Tertiary, Further education or other colleges","11,042"
2010,2010 Q2,Visa,All other institutions,English language school,"4,879"
2010,2010 Q2,Visa,All other institutions,Independent school,"2,132"
2010,2010 Q2,Visa,All other institutions,Other,"1,818"
2010,2010 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,"1,122"
2010,2010 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,"3,951"
2010,2010 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges","7,909"
2010,2010 Q2,Extensions of stay,All other institutions,English language school,"2,032"
2010,2010 Q2,Extensions of stay,All other institutions,Independent school,315
2010,2010 Q2,Extensions of stay,All other institutions,Other,622
2010,2010 Q3,Visa,Higher Education institution,Russell Group Universities,"45,776"
2010,2010 Q3,Visa,Higher Education institution,Non Russell Group Universities,"67,467"
2010,2010 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges","28,307"
2010,2010 Q3,Visa,All other institutions,English language school,"6,427"
2010,2010 Q3,Visa,All other institutions,Independent school,"9,456"
2010,2010 Q3,Visa,All other institutions,Other,"2,988"
2010,2010 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,"2,142"
2010,2010 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,"6,641"
2010,2010 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges","9,733"
2010,2010 Q3,Extensions of stay,All other institutions,English language school,"1,994"
2010,2010 Q3,Extensions of stay,All other institutions,Independent school,537
2010,2010 Q3,Extensions of stay,All other institutions,Other,737
2010,2010 Q4,Visa,Higher Education institution,Russell Group Universities,"3,645"
2010,2010 Q4,Visa,Higher Education institution,Non Russell Group Universities,"11,698"
2010,2010 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges","23,398"
2010,2010 Q4,Visa,All other institutions,English language school,"5,315"
2010,2010 Q4,Visa,All other institutions,Independent school,"2,566"
2010,2010 Q4,Visa,All other institutions,Other,"1,672"
2010,2010 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,"9,629"
2010,2010 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,"19,141"
2010,2010 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges","12,228"
2010,2010 Q4,Extensions of stay,All other institutions,English language school,"1,953"
2010,2010 Q4,Extensions of stay,All other institutions,Independent school,947
2010,2010 Q4,Extensions of stay,All other institutions,Other,821
2011,2011 Q1,Visa,Higher Education institution,Russell Group Universities,"2,295"
2011,2011 Q1,Visa,Higher Education institution,Non Russell Group Universities,"10,312"
2011,2011 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges","35,969"
2011,2011 Q1,Visa,All other institutions,English language school,"5,749"
2011,2011 Q1,Visa,All other institutions,Independent school,"2,474"
2011,2011 Q1,Visa,All other institutions,Other,"2,127"
2011,2011 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,"3,563"
2011,2011 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,"10,148"
2011,2011 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges","17,257"
2011,2011 Q1,Extensions of stay,All other institutions,English language school,"2,288"
2011,2011 Q1,Extensions of stay,All other institutions,Independent school,580
2011,2011 Q1,Extensions of stay,All other institutions,Other,"1,262"
2011,2011 Q2,Visa,Higher Education institution,Russell Group Universities,"7,166"
2011,2011 Q2,Visa,Higher Education institution,Non Russell Group Universities,"12,850"
2011,2011 Q2,Visa,All other institutions,"Tertiary, Further education or other colleges","25,889"
2011,2011 Q2,Visa,All other institutions,English language school,"3,077"
2011,2011 Q2,Visa,All other institutions,Independent school,"2,902"
2011,2011 Q2,Visa,All other institutions,Other,"1,894"
2011,2011 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,"1,066"
2011,2011 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,"3,819"
2011,2011 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges","10,337"
2011,2011 Q2,Extensions of stay,All other institutions,English language school,"1,307"
2011,2011 Q2,Extensions of stay,All other institutions,Independent school,375
2011,2011 Q2,Extensions of stay,All other institutions,Other,860
2011,2011 Q3,Visa,Higher Education institution,Russell Group Universities,"45,736"
2011,2011 Q3,Visa,Higher Education institution,Non Russell Group Universities,"60,932"
2011,2011 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges","15,115"
2011,2011 Q3,Visa,All other institutions,English language school,"1,803"
2011,2011 Q3,Visa,All other institutions,Independent school,"9,002"
2011,2011 Q3,Visa,All other institutions,Other,"1,758"
2011,2011 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,"2,077"
2011,2011 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,"5,525"
2011,2011 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges","7,888"
2011,2011 Q3,Extensions of stay,All other institutions,English language school,720
2011,2011 Q3,Extensions of stay,All other institutions,Independent school,449
2011,2011 Q3,Extensions of stay,All other institutions,Other,393
2011,2011 Q4,Visa,Higher Education institution,Russell Group Universities,"3,033"
2011,2011 Q4,Visa,Higher Education institution,Non Russell Group Universities,"10,212"
2011,2011 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges","7,020"
2011,2011 Q4,Visa,All other institutions,English language school,847
2011,2011 Q4,Visa,All other institutions,Independent school,"1,791"
2011,2011 Q4,Visa,All other institutions,Other,731
2011,2011 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,"10,551"
2011,2011 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,"19,182"
2011,2011 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges","5,784"
2011,2011 Q4,Extensions of stay,All other institutions,English language school,605
2011,2011 Q4,Extensions of stay,All other institutions,Independent school,751
2011,2011 Q4,Extensions of stay,All other institutions,Other,483
2012,2012 Q1,Visa,Higher Education institution,Russell Group Universities,"1,888"
2012,2012 Q1,Visa,Higher Education institution,Non Russell Group Universities,"8,373"
2012,2012 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges","6,684"
2012,2012 Q1,Visa,All other institutions,English language school,743
2012,2012 Q1,Visa,All other institutions,Independent school,"1,142"
2012,2012 Q1,Visa,All other institutions,Other,500
2012,2012 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,"3,384"
2012,2012 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,"8,562"
2012,2012 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges","7,555"
2012,2012 Q1,Extensions of stay,All other institutions,English language school,650
2012,2012 Q1,Extensions of stay,All other institutions,Independent school,592
2012,2012 Q1,Extensions of stay,All other institutions,Other,526
2012,2012 Q2,Visa,Higher Education institution,Russell Group Universities,"8,904"
