Year,Quarter,Type of application,Category of leave,Industry,Applications
2010,2010 Q1,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",16
2010,2010 Q1,Visa,Worker (Previously Tier 2),Mining and Quarrying,181
2010,2010 Q1,Visa,Worker (Previously Tier 2),Manufacturing,528
2010,2010 Q1,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",32
2010,2010 Q1,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",3
2010,2010 Q1,Visa,Worker (Previously Tier 2),Construction,104
2010,2010 Q1,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,171
2010,2010 Q1,Visa,Worker (Previously Tier 2),Transportation and Storage,94
2010,2010 Q1,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,506
2010,2010 Q1,Visa,Worker (Previously Tier 2),Information and Communications,"4,264"
2010,2010 Q1,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,"1,446"
2010,2010 Q1,Visa,Worker (Previously Tier 2),Real estate activities,8
2010,2010 Q1,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities","1,757"
2010,2010 Q1,Visa,Worker (Previously Tier 2),Administrative and support service activities,121
2010,2010 Q1,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,55
2010,2010 Q1,Visa,Worker (Previously Tier 2),Education,355
2010,2010 Q1,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,882
2010,2010 Q1,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",169
2010,2010 Q1,Visa,Worker (Previously Tier 2),Other Service Activities,86
2010,2010 Q1,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,4
2010,2010 Q1,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,3
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",14
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Manufacturing,24
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Construction,10
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Wholesale and retail trade; repair of motor vehicles and motorcycles,18
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,105
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Information and Communications,151
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Financial and Insurance Activities,6
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Real estate activities,1
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",100
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Administrative and support service activities,214
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Public administration and defence; compulsory social security,10
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Education,525
2010,2010 Q1,Visa,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,256
